song_id,song_name,song_type,explicit,entry_year,exit_year,n_years_on_chart,years_on_chart,weeks_on_chart,song_rank_entry,song_rank_peak,song_rank_final,entry_week,exit_week,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
4ijNab1GM0JSZoe0I2KCOd,Cuts You Up,Solo,FALSE,1990,1990,1,1990,9,6,46,16,1990-03-24,1990-05-19,327133,0.0228,0.63,0.806,0.00515,0.135,-10.728,0.0412,0.802,134.467
4ijuSvn7dE8i9o8Ori6QmC,I Want'a Do Something Freaky To You,Solo,FALSE,1975,1975,1,1975,17,11,86,57,1975-09-06,1975-12-27,303133,0.255,0.574,0.441,0.00316,0.229,-15.258,0.0306,0.911,92.158
4imIg6Plz7vrKT1zW3FrSh,Wheels of Life,Solo,FALSE,1979,1979,1,1979,5,15,23,2,1979-02-17,1979-03-17,339226,0.23,0.511,0.836,7.72e-5,0.19,-5.98,0.042,0.422,96.454
4ioTeLwRRJeWsz8535nrjD,Doe Boy Fresh,Collaboration,TRUE,2007,2007,1,2007,10,16,47,12,2007-01-20,2007-05-26,258733,0.263,0.8,0.619,0,0.0624,-5.728,0.131,0.75,152.329
4iozhXt27eMl39W5z7R8H6,Little Red Corvette,Solo,TRUE,1983,2016,2,1983;2016,24,35,95,81,1983-02-26,2016-05-14,296907,0.281,0.748,0.746,3.31e-5,0.632,-9.721,0.111,0.709,123.144
4ipMwje2IK7SI7VDHvv3Ku,Thinking Of You,Solo,FALSE,1991,1991,1,1991,6,13,16,4,1991-10-26,1991-11-30,240067,0.154,0.755,0.347,2.99e-5,0.115,-13.853,0.0792,0.634,138.673
4is3oF4FlWmedh3TK6Ke7z,Fat,Solo,FALSE,1988,1988,1,1988,2,2,2,1,1988-05-21,1988-05-28,216067,0.166,0.87,0.551,3.66e-5,0.0642,-10.563,0.06,0.409,116.916
4isk4UYRcmslphcTq61xUg,Quickie,Solo,FALSE,2011,2011,1,2011,14,6,39,3,2011-08-06,2011-11-05,226360,0.216,0.372,0.642,0,0.114,-4.819,0.148,0.647,67.839
4iuNZTcvT9diFySSzVsnVS,When I See U,Solo,FALSE,2007,2007,1,2007,23,2,69,54,2007-04-21,2007-09-22,217347,0.457,0.569,0.596,8.99e-5,0.205,-6.486,0.171,0.757,93.134
4ixD6bSwnSlzuBrd2c80vI,Captain Save A Hoe,Collaboration,TRUE,1994,1994,1,1994,2,7,7,1,1994-07-16,1994-07-23,288298,0.0579,0.8,0.336,0,0.223,-19.552,0.252,0.538,82.996
4iymlQxcR6ZH5WwlxdKE8o,I Like It Like That,Solo,FALSE,1964,1964,1,1964,9,19,74,57,1964-06-27,1964-08-22,183493,0.0992,0.589,0.718,0,0.691,-6.164,0.053,0.688,111.341
4j0lv0uCOp62Qy6PTdTfw9,"So Good, So Right",Solo,FALSE,1979,1979,1,1979,17,13,71,1,1979-08-18,1979-12-08,203000,0.53,0.499,0.389,1.52e-5,0.118,-12.601,0.0526,0.402,73.717
4j2ArHvM38V1LxLhhrY5Ks,Do What You Gotta Do,Solo,FALSE,1968,1968,1,1968,4,14,18,18,1968-08-31,1968-09-21,172000,0.584,0.496,0.468,0,0.0474,-10.993,0.0389,0.704,112.09
4j2Z0fivH9kDUhqG69Z3Aa,The Great Escape,Solo,FALSE,2007,2007,1,2007,25,5,78,51,2007-06-02,2007-11-17,206520,0.00166,0.423,0.94,0,0.178,-4.012,0.0635,0.505,149.934
4j36aYXGXhp8ADZ7guRiXE,Let's Get Serious,Solo,FALSE,1980,1980,1,1980,23,18,92,3,1980-03-29,1980-08-30,208933,0.103,0.759,0.793,0,0.0757,-8.378,0.0576,0.901,109.813
4j3BX19jfJpCrBoCFaSxNB,Funny Familiar Forgotten Feelings,Solo,FALSE,1967,1967,1,1967,6,24,52,47,1967-05-20,1967-06-24,177707,0.667,0.452,0.403,0,0.135,-10.898,0.0277,0.446,86.58
4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,Solo,FALSE,2018,2018,1,2018,5,57,57,1,2018-07-28,2018-09-15,213600,0.0129,0.76,0.579,0.00351,0.106,-7.374,0.0569,0.125,100.01
4j3X4KX8rURekAVIFUhI23,Perfect,Solo,FALSE,2003,2004,2,2003;2004,20,29,77,32,2003-11-01,2004-03-13,277027,0.0273,0.494,0.672,0,0.105,-4.877,0.0405,0.557,156.208
4j7wjaOS6RcjWnQ508SIJK,Falling in Love Again,Solo,FALSE,1981,1981,1,1981,8,17,37,8,1981-08-08,1981-09-26,232890,0.232,0.479,0.679,0,0.0247,-7.593,0.0284,0.608,108.801
4j85yMSm2M2md0ygV3K771,Primitive Love Rites - Digitally Remastered,Solo,FALSE,1987,1987,1,1987,6,17,30,7,1987-05-23,1987-06-27,290533,0.0071,0.451,0.941,4.01e-4,0.0909,-5.181,0.128,0.639,173.62
4j8DrdCiiVRWw1iRfOZcQj,Is It True,Solo,FALSE,1964,1964,1,1964,9,33,84,64,1964-10-17,1964-12-12,149427,0.411,0.721,0.782,9.36e-6,0.265,-10.37,0.0358,0.81,125.401
4j9Y9TzpmUE21e91R5DT7k,Change Me,Solo,FALSE,2006,2006,1,2006,1,7,7,7,2006-11-18,2006-11-18,230387,0.16,0.721,0.627,0,0.0527,-4.112,0.0552,0.528,133.896
4j9o3LiH3kcNi5iwMaRv7Z,Strut,Solo,FALSE,2006,2006,1,2006,2,41,48,48,2006-09-09,2006-09-16,199380,0.462,0.684,0.593,1.47e-5,0.376,-8.748,0.0638,0.632,119.954
4jCJDQiiLMTh3ix6dXqfvo,Levitate,Solo,FALSE,2013,2013,1,2013,15,2,32,9,2013-03-16,2013-06-22,285267,0.00628,0.548,0.832,0,0.261,-3.72,0.0655,0.192,133.031
4jDXkAlsbb1LdhdvXCj0dU,Night in My Veins,Collaboration,FALSE,1994,1994,1,1994,8,7,30,6,1994-05-21,1994-07-09,197667,0.00684,0.531,0.918,0,0.127,-4.982,0.0366,0.898,136.052
4jDhI4nE32u8meRN1aOu8u,Maria,Solo,FALSE,1999,1999,1,1999,6,19,19,7,1999-04-10,1999-05-15,245701,0.0258,0.539,0.816,0.00202,0.076,-5.636,0.0632,0.742,159.689
4jE0JNXJ2H3UdhoYBeu8st,Country Sunshine,Solo,FALSE,1973,1973,1,1973,11,9,52,35,1973-09-29,1973-12-08,123667,0.458,0.453,0.51,0,0.106,-8.94,0.0357,0.747,83.045
4jEQO6oTTPRafYh0AHyQ9h,Isn't It About Time,Solo,FALSE,1973,1973,1,1973,8,18,45,14,1973-04-28,1973-06-16,182133,0.0722,0.497,0.782,0,0.266,-9.736,0.0876,0.569,85.437
4jIfTHzqYWspDy9wlgvTjp,Uneasy Rider,Solo,FALSE,1973,1973,1,1973,12,17,92,69,1973-06-30,1973-09-15,318800,0.649,0.67,0.698,0,0.265,-8.578,0.0447,0.937,96.029
4jK1VQQGDnNOLfyVXCxGsR,MY PYT,Solo,TRUE,2016,2016,1,2016,15,7,47,9,2016-07-02,2016-10-08,235652,0.0298,0.563,0.414,0,0.0854,-11.409,0.37,0.446,193.549
4jK7wyYptlOiNrrYDyAUDt,"Your Baby Never Looked Good In Blue - 7"" Version",Solo,FALSE,1990,1990,1,1990,16,40,84,7,1990-03-31,1990-07-14,241840,0.622,0.561,0.498,1.22e-4,0.163,-9.91,0.026,0.367,138.172
4jKq3767lb2mWKCvas6E7Z,Here Comes My Baby,Solo,FALSE,1967,1967,1,1967,12,17,88,62,1967-04-08,1967-06-24,184107,0.0154,0.514,0.882,0,0.389,-5.306,0.0491,0.942,92.147
4jLv3tDBu8ww2R07DvL12s,Man On The Moon,Solo,FALSE,1993,1993,1,1993,15,8,71,12,1993-02-06,1993-05-15,314173,0.42,0.667,0.699,4.42e-4,0.201,-7.574,0.026,0.655,118.567
4jNSUTOJJUsYXlljSYmycX,The Letter,Solo,FALSE,1969,1969,1,1969,10,18,81,52,1969-02-22,1969-04-26,212373,0.354,0.371,0.5,0.0124,0.0805,-11.254,0.0262,0.481,92.035
4jOY5ZWNqpvKmaBGmjODGX,The Way It Is,Solo,FALSE,1986,1987,2,1986;1987,22,15,100,20,1986-09-20,1987-02-14,296640,0.563,0.574,0.814,0.0546,0.151,-8.804,0.0276,0.495,111.04
4jPm4ND2uGlO7qPdqx83uu,"Ob-La-Di, Ob-La-Da",Solo,FALSE,1969,1969,1,1969,6,13,50,44,1969-01-04,1969-02-08,181400,0.107,0.839,0.772,0,0.227,-7.197,0.0345,0.971,122.233
4jQAWmK7RTRWaofM5n2NhK,Cara-Lin,Solo,FALSE,1965,1965,1,1965,8,17,62,54,1965-09-18,1965-11-06,162333,0.135,0.748,0.788,3.81e-6,0.501,-11.284,0.067,0.626,130.506
4jR1ubOUrzx7GOmHpRCxRa,The Taste of Tears,Solo,FALSE,1964,1964,1,1964,3,5,14,14,1964-06-20,1964-07-04,166800,0.814,0.204,0.197,0.00484,0.324,-17.284,0.0353,0.149,158.834
4jRJWlkCn3pAwezfqFODU3,For Your Eyes Only,Solo,FALSE,1981,1982,2,1981;1982,25,18,97,3,1981-07-25,1982-01-09,184480,0.871,0.244,0.44,8.65e-5,0.372,-7.777,0.0475,0.113,82.02
4jSwgxNp8EmMIdyPHEEKlb,Love You Like I Never Loved Before,Solo,FALSE,1981,1981,1,1981,13,29,77,8,1981-03-28,1981-06-20,202827,0.369,0.419,0.524,0,0.339,-12.455,0.0323,0.852,141.538
4jTiyLlOJVJj3mCr7yfPQD,This Could Be Us,Solo,TRUE,2015,2015,1,2015,20,7,52,29,2015-06-27,2015-11-07,206307,0.275,0.718,0.692,0,0.118,-5.06,0.148,0.721,142.992
4jV00PIBgeim1BRXnmBbkb,Hard to Say,Solo,FALSE,1981,1982,2,1981;1982,19,29,94,5,1981-08-29,1982-01-02,239933,0.67,0.693,0.332,1.29e-5,0.0876,-16.351,0.0254,0.695,91.201
4jV4ld7z4BrswF3uKqz8Ny,Never Let Her Slip Away,Solo,FALSE,1978,1978,1,1978,8,15,34,2,1978-06-17,1978-08-05,208240,0.538,0.718,0.368,0,0.0614,-17.535,0.0351,0.895,114.295
4jVipHalgvFVz3Smp4aQID,Feels Just Like It Should,Solo,FALSE,2006,2006,1,2006,3,11,21,10,2006-09-09,2006-09-23,227027,0.39,0.658,0.742,3.31e-4,0.125,-3.511,0.0319,0.698,123.316
4jYuAdVCOMkEQJWV2qvlj6,"Tomorrow (A Better You, Better Me)",Collaboration,FALSE,1990,1990,1,1990,5,13,26,6,1990-05-26,1990-06-23,286867,0.673,0.529,0.652,0.00235,0.104,-6.107,0.0348,0.398,82.236
4jZcfHe0hbc5ireJAxmQvC,Break You Off,Collaboration,TRUE,2003,2003,1,2003,1,2,2,2,2003-03-15,2003-03-15,447440,0.056,0.546,0.71,0.19,0.111,-8.22,0.127,0.268,165.544
4jbJsvzAgDQ6KwGjdVII13,Get Off My Back Woman,Solo,FALSE,1969,1969,1,1969,8,1,27,27,1969-08-30,1969-10-18,196333,0.21,0.71,0.538,1.91e-5,0.039,-12.084,0.037,0.854,102.246
4jcq6P38CTSduelZerGd8x,Rebels,Solo,FALSE,1985,1985,1,1985,5,13,27,10,1985-08-17,1985-09-14,320933,0.0822,0.566,0.634,2.79e-5,0.065,-10.53,0.029,0.563,139.105
4jfU6AxaEViS2jvNRIaRFH,Victim Of Love,Solo,FALSE,1987,1987,1,1987,12,26,69,6,1987-08-22,1987-11-07,247000,0.00374,0.443,0.497,1.77e-6,0.218,-13.223,0.0388,0.38,143.8
4jh9olf0OKCokpzxSyLeJx,Toy Soldiers,Solo,FALSE,1989,1989,1,1989,20,32,100,16,1989-05-20,1989-09-30,287600,0.403,0.514,0.59,0,0.126,-6.405,0.0274,0.173,130.167
4ji8rXBodYFYDTyenDNjuy,Another Place Another Time,Solo,FALSE,1968,1968,1,1968,2,3,4,4,1968-03-30,1968-04-06,147413,0.646,0.58,0.416,0,0.0653,-11.721,0.0296,0.698,103.653
4jj4wvdbBVqP0pwhzEK44u,Look To Your Soul,Solo,FALSE,1968,1968,1,1968,7,26,52,52,1968-04-06,1968-05-18,195027,0.503,0.41,0.322,1.52e-4,0.196,-15.224,0.0295,0.364,86.694
